case,K(wt%),mdot(g/s),Res(Ohm),n_K_min[#/m3],n_K_max[#/m3],n_K_ave[#/m3],QwallChannel[kW],QwallComb[kW],T_min(K),T_max(K),T_ave(K),T_center(K)
3,0.1,9.6,574.7,5.53E+20,2.07E+21,8.70E+20,6.4,7.92,461,2650,2204,2575.46
5,0.1,13,671.3,6.79E+20,2.04E+21,1.04E+21,8.54,9.88,500,2700,2268,2627.43
8,0.1,16.4,786.2,7.91E+20,2.28E+21,1.18E+21,10.62,11.63,539,2738,2318,2669.04
6,0.32,13,233.4,2.20E+21,6.27E+21,3.24E+21,8.99,10.37,513,2719,2295,2652.99
7,1,13,173.5,6.30E+21,1.67E+22,9.25E+21,9.13,9.93,520,2674,2268,2615.9
