Kwt,tf,Total Mass Flow [g/s],K wt%,Resistance (50-100V)  [ohms],"$n_{K,expt}$ [$\#/m^3$]",Channel Heat Transfer [kW],Combustor Heat Transfer [kW],Total Wall Heat Transfer [kW],Total Fuel Flow with Liquid Seed HVOF [g/s],Mass Flow O2 HVOF [g/s],Emulsion K2CO3 Mass Flow [g/s],Emulsion Water Mass Flow [g/s]
0.1,9.52,9.52 +- 0.01,0.101 +- 0.0,1093.0 +- 209.8,6.95e+20 +- 6.2e+19,5.4 +- 0.09,15.4 +- 0.64,20.8 +- 0.7,1.699 +- 0.011,7.729 +- 0.013,0.017 +- 0.0,0.07 +- 0.0
0.1,12.96,12.94 +- 0.06,0.101 +- 0.001,1009.4 +- 159.2,9.36e+20 +- 1.6e+20,6.82 +- 0.54,19.62 +- 0.86,26.4 +- 0.9,2.372 +- 0.012,10.452 +- 0.054,0.023 +- 0.0,0.095 +- 0.0
0.1,16.38,16.38 +- 0.03,0.1 +- 0.0,996.2 +- 325.2,9.97e+20 +- 1.1e+20,9.61 +- 0.73,23.77 +- 0.55,33.4 +- 0.9,3.021 +- 0.014,13.212 +- 0.045,0.029 +- 0.0,0.12 +- 0.0
0.32,12.96,12.96 +- 0.02,0.317 +- 0.0,500.1 +- 39.2,3.11e+21 +- 4.4e+20,6.57 +- 0.42,19.39 +- 0.78,26.0 +- 0.4,2.329 +- 0.007,10.258 +- 0.025,0.073 +- 0.0,0.3 +- 0.0
1.0,12.96,12.96 +- 0.02,1.004 +- 0.002,439.7 +- 97.8,9.15e+21 +- 1.8e+20,6.1 +- 0.39,16.36 +- 0.87,22.5 +- 1.3,2.153 +- 0.015,9.625 +- 0.025,0.23 +- 0.0,0.95 +- 0.0
